Brand,Nume,Pret_Nou,Pret_vechi,Marime,Gen,Data
ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE,"234,00","234,00",40 2/3,barbati,2019-10-28 18:53:27.562206

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE,"208,26","234,00",42,barbati,2019-10-28 18:53:28.981187

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE CL,"389,99","389,99",41 1/3,barbati,2019-10-28 18:53:30.438533

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE CL,"234,00","234,00",41 1/3,barbati,2019-10-28 18:53:31.921772

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE CL,"221,99","221,99",41 1/3,barbati,2019-10-28 18:53:33.469201

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE CL,"221,99","221,99",41 1/3,barbati,2019-10-28 18:53:35.091851

ADIDAS,ADIDAS Pantofi sport CF ALL COURT,"179,20","224,01",44,barbati,2019-10-28 18:53:36.560431

ADIDAS,ADIDAS Pantofi sport CF HOOPS MID WTR,"256,49","341,99",40 2/3,barbati,2019-10-28 18:53:38.023963

ADIDAS,ADIDAS Pantofi sport CF LITE RACER,"220,99","220,99",39 1/3,barbati,2019-10-28 18:53:39.651484

ADIDAS,ADIDAS Pantofi sport CF LITE RACER,"204,80","256,00",42 2/3,barbati,2019-10-28 18:53:41.543016

ADIDAS,ADIDAS Pantofi sport CF LITE RACER,"206,00","206,00",40 2/3,barbati,2019-10-28 18:53:43.175064

ADIDAS,ADIDAS Pantofi sport CF RACER MID WTR,"210,00","210,00",44 2/3,barbati,2019-10-28 18:53:44.785188

ADIDAS,ADIDAS Pantofi sport CF RACER MID WTR,"251,99","251,99",42,barbati,2019-10-28 18:53:46.262776

ADIDAS,ADIDAS Pantofi sport CF RACER MID WTR,"251,99","251,99",42,barbati,2019-10-28 18:53:47.735961

ADIDAS,ADIDAS Pantofi sport CF RACER TR,"216,00","216,00",43 1/3,barbati,2019-10-28 18:53:49.651821

ADIDAS,ADIDAS Pantofi sport CF RACER TR,"190,40","238,00",43 1/3,barbati,2019-10-28 18:53:51.099566

ADIDAS,ADIDAS Pantofi sport CF RACER TR,"180,00","180,00",45 1/3,barbati,2019-10-28 18:53:52.508910

ADIDAS,ADIDAS Pantofi sport CF RACER TR,"198,00","198,00",44,barbati,2019-10-28 18:53:53.856926

ADIDAS,ADIDAS Pantofi sport CF RACER TR,"251,99","251,99",41 1/3,barbati,2019-10-28 18:53:55.879201

KRONOS,KRONOS Pantofi sport CHANGE,"116,99","179,99",41,barbati,2019-10-28 18:53:58.558054

KRONOS,KRONOS Pantofi sport CHANGE,"116,99","179,99",41,barbati,2019-10-28 18:54:00.104531

ADIDAS,ADIDAS Pantofi sport CHAOS,"262,49","349,99",40,barbati,2019-10-28 18:54:01.972980

CHAMPION,CHAMPION Pantofi sport CHELSEA,"101,15","119,00",43,barbati,2019-10-28 18:54:03.566228

CHAMPION,CHAMPION Pantofi sport CHELSEA,"101,15","119,00",44,barbati,2019-10-28 18:54:04.990501

CHAMPION,CHAMPION Pantofi sport CHELSEA,"97,31","139,00",41,barbati,2019-10-28 18:54:06.402139

CHAMPION,CHAMPION Pantofi sport CHELSEA  001.NAVY,"76,01","76,01",45,barbati,2019-10-28 18:54:07.826543

CONVERSE,CONVERSE Pantofi sport CHUCK TAYLOR ALL STAR,"151,64","222,99",45,barbati,2019-10-28 18:54:09.279422

CONVERSE,CONVERSE Pantofi sport CHUCK TAYLOR ALL STAR,"137,24","183,00",37.5,barbati,2019-10-28 18:54:10.714663

CONVERSE,CONVERSE Pantofi sport CHUCK TAYLOR ALL STAR,"210,80","248,00",37.5,barbati,2019-10-28 18:54:12.116748

REEBOK,REEBOK Pantofi sport CL LTHR,"261,00","261,00",41,barbati,2019-10-28 18:54:13.659362

REEBOK,REEBOK Pantofi sport CL LTHR,"286,00","286,00",42,barbati,2019-10-28 18:54:15.153964

CHAMPION,CHAMPION Pantofi sport CLASSIC,"131,99","131,99",42,barbati,2019-10-28 18:54:16.668239

CHAMPION,CHAMPION Pantofi sport CLASSIC,"131,99","131,99",41,barbati,2019-10-28 18:54:18.241102

CHAMPION,CHAMPION Pantofi sport CLASSIC,"117,61","168,00",43,barbati,2019-10-28 18:54:19.779834

REEBOK,REEBOK Pantofi sport CLASSIC LTH ECRU,"359,99","359,99",44,barbati,2019-10-28 18:54:21.250586

SLAZENGER,SLAZENGER Pantofi sport CLASSIC MENS TRAINERS,"195,01","195,01",41,barbati,2019-10-28 18:54:22.815363

SLAZENGER,SLAZENGER Pantofi sport CLASSIC MENS TRAINERS,"280,00","280,00",42.5,barbati,2019-10-28 18:54:27.413165

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM ADVANTAGE CLEAN,"251,99","251,99",41 1/3,barbati,2019-10-28 18:54:29.234140

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM BB HOOPS,"191,99","191,99",42 2/3,barbati,2019-10-28 18:54:30.771054

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM RACER TR,"234,00","234,00",43 1/3,barbati,2019-10-28 18:54:32.208299

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM ULTIMATE,"319,00","319,00",41 1/3,barbati,2019-10-28 18:54:33.754911

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM ULTIMATE,"246,40","308,00",44,barbati,2019-10-28 18:54:35.382379

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM ULTIMATE,"273,00","273,00",41 1/3,barbati,2019-10-28 18:54:36.994207

ADIDAS,ADIDAS Pantofi sport CLOUDFOAM ULTIMATE,"273,00","273,00",41 1/3,barbati,2019-10-28 18:54:38.544146

CHAMPION,CHAMPION Pantofi sport COOPER,"85,50","95,00",42,barbati,2019-10-28 18:54:40.054250

CHAMPION,CHAMPION Pantofi sport COOPER,"85,50","95,00",43,barbati,2019-10-28 18:54:41.424597

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport COPENHAGEN CVS,"107,99","179,99",43,barbati,2019-10-28 18:54:43.226422

ADIDAS,ADIDAS Pantofi sport COURT ADAPT,"214,00","214,00",41 1/3,barbati,2019-10-28 18:54:45.110153

LOTTO,LOTTO Pantofi sport COURT LOGO XVI,"115,49","209,99",40.5,barbati,2019-10-28 18:54:46.687277

LOTTO,LOTTO Pantofi sport COURT LOGO XVI,"115,49","209,99",40.5,barbati,2019-10-28 18:54:48.114887

ADIDAS,ADIDAS Pantofi sport COURT VULC,"191,99","191,99",44,barbati,2019-10-28 18:54:49.955124

ADIDAS,ADIDAS Pantofi sport COURT VULC,"160,00","160,00",44 2/3,barbati,2019-10-28 18:54:51.710280

ADIDAS,ADIDAS Pantofi sport COURT VULC,"191,99","191,99",44,barbati,2019-10-28 18:54:53.511440

ADIDAS,ADIDAS Pantofi sport COURT80S,"247,00","379,99",40,barbati,2019-10-28 18:54:54.957381

ADIDAS,ADIDAS Pantofi sport COURT80S,"247,00","379,99",40,barbati,2019-10-28 18:54:56.763881

ADIDAS,ADIDAS Pantofi sport COURTSET,"128,79","161,00",46,barbati,2019-10-28 18:54:58.459131

ADIDAS,ADIDAS Pantofi sport COURTSMASH,"168,00","168,00",42,barbati,2019-10-28 18:54:59.919302

ADIDAS,ADIDAS Pantofi sport CRAZYCHAOS,"262,49","349,99",40,barbati,2019-10-28 18:55:01.655526

ADIDAS,ADIDAS Pantofi sport CRAZYCHAOS,"247,00","379,99",40,barbati,2019-10-28 18:55:03.110490

ADIDAS,ADIDAS Pantofi sport CRAZYPOWER TR M,"396,90","441,00",41 1/3,barbati,2019-10-28 18:55:04.508093

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN 2 CF M,"198,00","264,00",42 2/3,barbati,2019-10-28 18:55:05.899601

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN CF M CBLACK/FTWWHT/SCARLE,"175,50","195,01",40 2/3,barbati,2019-10-28 18:55:07.325532

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN LT M,"254,01","254,01",40 2/3,barbati,2019-10-28 18:55:08.883411

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN LT M,"258,00","258,00",41 1/3,barbati,2019-10-28 18:55:10.775670

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN LT M,"258,00","258,00",41 1/3,barbati,2019-10-28 18:55:12.275506

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN PRO 3 M,"318,00","318,00",41 1/3,barbati,2019-10-28 18:55:13.962476

ADIDAS,ADIDAS Pantofi sport CRAZYTRAIN PRO 3.0,"302,39","336,00",42,barbati,2019-10-28 18:55:15.632329

ADIDAS,ADIDAS Pantofi sport DAME D.O.L.L.A.,"346,92","413,00",44,barbati,2019-10-28 18:55:17.425907

ELLESSE,ELLESSE Pantofi sport DANDY,"150,00","150,00",44,barbati,2019-10-28 18:55:19.175840

ELLESSE,ELLESSE Pantofi sport DANNER,"84,00","112,00",44,barbati,2019-10-28 18:55:20.866501

ELLESSE,ELLESSE Pantofi sport DANNER,"80,65","112,00",44,barbati,2019-10-28 18:55:22.530819

ADIDAS,ADIDAS Pantofi sport DAROGA PLUS LEA,"479,99","479,99",41 1/3,barbati,2019-10-28 18:55:24.143895

ELLESSE,ELLESSE Pantofi sport DAVID,"115,20","144,00",44,barbati,2019-10-28 18:55:25.664046

ELLESSE,ELLESSE Pantofi sport DAVID,"115,20","144,00",44,barbati,2019-10-28 18:55:27.377207

CHAMPION,CHAMPION Pantofi sport DECK,"76,80","128,00",41,barbati,2019-10-28 18:55:28.952006

CHAMPION,CHAMPION Pantofi sport DECK,"112,00","112,00",41,barbati,2019-10-28 18:55:30.578012

CHAMPION,CHAMPION Pantofi sport DECK V2,"76,51","90,00",40,barbati,2019-10-28 18:55:32.372265

CHAMPION,CHAMPION Pantofi sport DECK V2,"76,51","90,00",40,barbati,2019-10-28 18:55:33.762615

ELLESSE,ELLESSE Pantofi sport DELSIN,"100,79","126,00",44,barbati,2019-10-28 18:55:35.392850

REEBOK,REEBOK Pantofi sport DMX LITE KATAK,"191,99","191,99",40.5,barbati,2019-10-28 18:55:37.018084

CHAMPION,CHAMPION Pantofi sport DOT,"94,80","120,00",44,barbati,2019-10-28 18:55:38.549053

ELLESSE,ELLESSE Pantofi sport DUFF SUEDE,"100,00","100,00",44,barbati,2019-10-28 18:55:39.965909

ADIDAS,ADIDAS Pantofi sport DURAMO 7 ATR M,"184,03","214,00",44,barbati,2019-10-28 18:55:41.995503

ADIDAS,ADIDAS Pantofi sport DURAMO 7 M,"198,00","198,00",42,barbati,2019-10-28 18:55:43.866756

ADIDAS,ADIDAS Pantofi sport DURAMO 8 M MYSBLU/CONAVY/CONAVY,"194,40","240,00",43 1/3,barbati,2019-10-28 18:55:48.594571

ADIDAS,ADIDAS Pantofi sport DURAMO 8 TRAINER M,"170,00","170,00",44 2/3,barbati,2019-10-28 18:55:50.069661

ADIDAS,ADIDAS Pantofi sport DURAMO 8 TRAINER M,"228,00","228,00",41 1/3,barbati,2019-10-28 18:55:51.927149

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"206,00","206,00",41 1/3,barbati,2019-10-28 18:55:53.370836

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"259,99","259,99",40 2/3,barbati,2019-10-28 18:55:54.838505

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"180,00","180,00",42,barbati,2019-10-28 18:55:56.247767

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"180,00","180,00",42,barbati,2019-10-28 18:55:57.716960

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"208,00","208,00",41 1/3,barbati,2019-10-28 18:55:59.289146

ADIDAS,ADIDAS Pantofi sport DURAMO 9,"168,99","259,99",40,barbati,2019-10-28 18:56:00.923313

ADIDAS,ADIDAS Pantofi sport DURAMO LITE 2.0,"168,00","168,00",46,barbati,2019-10-28 18:56:02.358677

ADIDAS,ADIDAS Pantofi sport DURAMO LITE 2.0,"151,20","168,00",43 1/3,barbati,2019-10-28 18:56:03.929107

ADIDAS,ADIDAS Pantofi sport DURAMO LITE 2.0,"137,00","137,00",41 1/3,barbati,2019-10-28 18:56:05.674095

ADIDAS,ADIDAS Pantofi sport DURAMO LITE 2.0,"132,48","144,00",45 1/3,barbati,2019-10-28 18:56:06.963924

ADIDAS,ADIDAS Pantofi sport DURAMO TRAINER,"150,50","175,00",44,barbati,2019-10-28 18:56:08.396087

ADIDAS,ADIDAS Pantofi sport ENERGY BOOST M,"463,54","539,00",44,barbati,2019-10-28 18:56:09.920041

ADIDAS,ADIDAS Pantofi sport ENERGY CLOUD 2,"161,98","182,00",40 2/3,barbati,2019-10-28 18:56:11.270997

ADIDAS,ADIDAS Pantofi sport ENERGY CLOUD WTC M,"161,99","180,00",44,barbati,2019-10-28 18:56:13.065913

ADIDAS,ADIDAS Pantofi sport ENERGYFALCON,"230,99","329,99",40,barbati,2019-10-28 18:56:14.551304

ADIDAS,ADIDAS Pantofi sport ENERGYFALCON,"230,99","329,99",40,barbati,2019-10-28 18:56:16.684847

ADIDAS,ADIDAS Pantofi sport ENERGYFALCON,"230,99","329,99",40,barbati,2019-10-28 18:56:18.156774

CHAMPION,CHAMPION Pantofi sport ENVY 2,"104,89","138,00",40,barbati,2019-10-28 18:56:19.749172

CHAMPION,CHAMPION Pantofi sport ENVY 2,"104,89","138,00",40,barbati,2019-10-28 18:56:21.269649

CHAMPION,CHAMPION Pantofi sport ENVY 2.0,"126,50","229,99",41,barbati,2019-10-28 18:56:22.861913

CHAMPION,CHAMPION Pantofi sport ENVY 2.0,"126,50","229,99",41,barbati,2019-10-28 18:56:24.288356

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport EPOQUE JEANS,"126,00","209,99",42,barbati,2019-10-28 18:56:26.054639

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport EPOQUE LTH,"126,00","209,99",44,barbati,2019-10-28 18:56:27.556004

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport EPOQUE NBK  01.NAVY,"98,00","140,00",41,barbati,2019-10-28 18:56:29.072987

ADIDAS,ADIDAS Pantofi sport EQT SUPPORT 93 17,"498,00","498,00",40 2/3,barbati,2019-10-28 18:56:30.954219

ADIDAS,ADIDAS Pantofi sport ESSENCE,"169,33","204,00",41 1/3,barbati,2019-10-28 18:56:32.843291

ADIDAS,ADIDAS Pantofi sport ESSENTIAL STAR 3 M,"182,00","182,00",40 2/3,barbati,2019-10-28 18:56:34.675369

ADIDAS,ADIDAS Pantofi sport ESSENTIAL STAR 3 M,"182,00","182,00",41 1/3,barbati,2019-10-28 18:56:37.011059

ADIDAS,ADIDAS Pantofi sport ESSENTIAL STAR 3 M,"182,00","182,00",41 1/3,barbati,2019-10-28 18:56:39.688222

REEBOK,REEBOK Pantofi sport EVERFORCE BREEZE,"247,00","379,99",40.5,barbati,2019-10-28 18:56:41.322819

ADIDAS,ADIDAS Pantofi sport EXPLOSIVE BOUNCE,"302,39","336,00",42,barbati,2019-10-28 18:56:42.842183

HELLY HANSEN,HELLY HANSEN Pantofi sport FJORD CANVAS,"196,42","322,00",44,barbati,2019-10-28 18:56:44.373978

HELLY HANSEN,HELLY HANSEN Pantofi sport FJORD CANVAS SHOE V2,"157,50","175,00",44,barbati,2019-10-28 18:56:45.943875

ADIDAS,ADIDAS Pantofi sport FLUIDCLOUD NEUTRAL M,"167,00","167,00",40 2/3,barbati,2019-10-28 18:56:47.488811

REEBOK,REEBOK Pantofi sport FOREVER FLOATRIDE ENERGY,"305,00","305,00",41,barbati,2019-10-28 18:56:48.971141

LOTTO,LOTTO Pantofi sport FOREX,"142,49","190,00",45,barbati,2019-10-28 18:56:50.572289

CHAMPION,CHAMPION Pantofi sport FURY,"191,99","319,99",41,barbati,2019-10-28 18:56:52.351800

CHAMPION,CHAMPION Pantofi sport FURY,"191,99","319,99",41,barbati,2019-10-28 18:56:53.837900

ADIDAS,ADIDAS Pantofi sport FUSION STORM WTR,"247,00","379,99",40 2/3,barbati,2019-10-28 18:56:55.606677

ADIDAS,ADIDAS Pantofi sport FUSION STORM WTR,"247,00","379,99",40,barbati,2019-10-28 18:56:57.447427

ADIDAS,ADIDAS Pantofi sport FUSION STORM WTR,"247,00","379,99",40 2/3,barbati,2019-10-28 18:56:59.092735

ADIDAS,ADIDAS Pantofi sport GALAXY 4,"156,00","156,00",41 1/3,barbati,2019-10-28 18:57:01.012417

ADIDAS,ADIDAS Pantofi sport GALAXY 4,"156,00","156,00",41 1/3,barbati,2019-10-28 18:57:02.986503

ADIDAS,ADIDAS Pantofi sport GALAXY 4 M,"280,00","280,00",40 2/3,barbati,2019-10-28 18:57:04.423293

ADIDAS,ADIDAS Pantofi sport GALAXY 4 M,"176,00","176,00",42 2/3,barbati,2019-10-28 18:57:07.134863

ADIDAS,ADIDAS Pantofi sport GALAXY 4 M,"280,00","280,00",41 1/3,barbati,2019-10-28 18:57:13.218824

ADIDAS,ADIDAS Pantofi sport GALAXY 4 M,"180,00","180,00",40 2/3,barbati,2019-10-28 18:57:15.123026

ADIDAS,ADIDAS Pantofi sport GALAXY TRAIL,"189,00","189,00",42 2/3,barbati,2019-10-28 18:57:17.723747

ADIDAS,ADIDAS Pantofi sport GALAXY TRAIL,"180,00","180,00",41 1/3,barbati,2019-10-28 18:57:19.135083

ADIDAS,ADIDAS Pantofi sport GAMECOURT M,"182,00","182,00",41 1/3,barbati,2019-10-28 18:57:20.530695

ADIDAS,ADIDAS Pantofi sport GAMECOURT M,"182,00","280,00",40,barbati,2019-10-28 18:57:22.090084

ADIDAS,ADIDAS Pantofi sport GAMECOURT M,"182,00","280,00",40,barbati,2019-10-28 18:57:23.524630

ASICS,ASICS Pantofi sport GEL-CUMULUS 19,"346,80","408,00",42,barbati,2019-10-28 18:57:25.012511

ASICS,ASICS Pantofi sport GEL-NIMBUS 19,"484,50","510,00",42,barbati,2019-10-28 18:57:26.534204

ASICS,ASICS Pantofi sport GEL-PULSE 8 SHOCKING ORANGE/BLACK/WHITE,"239,69","281,99",42,barbati,2019-10-28 18:57:28.980910

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport GHIBLI  02.NAVY,"104,43","177,00",43,barbati,2019-10-28 18:57:31.148318

ELLESSE,ELLESSE Pantofi sport GORDON,"159,60","228,00",44,barbati,2019-10-28 18:57:32.937118

ELLESSE,ELLESSE Pantofi sport GORDON,"159,60","228,00",44,barbati,2019-10-28 18:57:34.340765

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport GRAN TORINO 01.WHITE-DEEP,"95,63","131,00",46,barbati,2019-10-28 18:57:35.767349

SERGIO TACCHINI,SERGIO TACCHINI Pantofi sport GRAN TORINO 21.WHITE- GREY,"98,25","131,00",43,barbati,2019-10-28 18:57:37.538600

ADIDAS,ADIDAS Pantofi sport GRAND COURT,"329,99","329,99",41 1/3,barbati,2019-10-28 18:57:38.979454

ADIDAS,ADIDAS Pantofi sport GRAND COURT,"329,99","329,99",41 1/3,barbati,2019-10-28 18:57:40.683493

ADIDAS,ADIDAS Pantofi sport GRAND COURT,"247,00","379,99",40,barbati,2019-10-28 18:57:42.569579

ADIDAS,ADIDAS Pantofi sport GRAND COURT,"247,00","379,99",40,barbati,2019-10-28 18:57:44.538475

ADIDAS,ADIDAS Pantofi sport GRAND COURT BASE,"156,00","239,99",40 2/3,barbati,2019-10-28 18:57:45.981275

ADIDAS,ADIDAS Pantofi sport GRAND COURT BASE,"156,00","239,99",40 2/3,barbati,2019-10-28 18:57:47.554028

ADIDAS,ADIDAS Pantofi sport GRAND COURT BASE,"156,00","239,99",40,barbati,2019-10-28 18:57:49.143521

CHAMPION,CHAMPION Pantofi sport GRANT,"113,25","151,00",44,barbati,2019-10-28 18:57:50.586817

CHAMPION,CHAMPION Pantofi sport GRANT,"125,00","125,00",41,barbati,2019-10-28 18:57:52.051439

